dataset,classifier,metric,author,fold,value
bank,svm,f1,ana--beatriz,v1,0.4713785046728972
glass_identification,svm,f1,andrey--jodar,v1,0.22
spambase,svm,f1,arthur--heiji,v1,0.9233449818900068
wine_quality_red,svm,f1,arthur-hydeki,v1,0.9326344829083816
insurance,svm,f1,arthur-protazio,v1,0.9009203147106356
column_2c,svm,f1,eduardo-barbeiro,v1,0.5139010828211882
Automobile,svm,f1,eduardo-cavazin,v1,0.2786764705882353
accelerator-mobile,svm,f1,gregory--soares,v1,0.829
iris,svm,f1,gustavo--cruz-v2,v1,1.0
garments-workers,svm,f1,isaque--cruz,v1,0.4371816638370118
wine,svm,f1,larissa-v2,v1,0.9717813051146384
tic_tac_toe,svm,f1,leandro-menoni,v1,0.46
wine-white,svm,f1,lucas-v2,v1,0.6542400816230428
data.csv,svm,f1,luiz-miguel-silva,v1,0.5785650623885918
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v1,0.9573446961202065
iris,svm,f1,pablo-v2,v1,1.0
bank,svm,f1,rafael-leonardo,v1,0.7458385623766756
Rice,svm,f1,rafael-scarpelli,v1,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v1,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v1,0.8899062156508173
mushroom,svm,f1,thalles--barros,v1,0.688500253866426
agaricus-lepiota,svm,f1,vitor--garcia,v1,1.0
Car Evaluation,svm,f1,vitor-oliveira,v1,0.7600000000000001
bank,svm,f1,ana--beatriz,v2,0.4735002912055912
glass_identification,svm,f1,andrey--jodar,v2,0.2742857142857143
spambase,svm,f1,arthur--heiji,v2,0.9332786491677336
wine_quality_red,svm,f1,arthur-hydeki,v2,0.9013502323796762
insurance,svm,f1,arthur-protazio,v2,0.91652977848988
column_2c,svm,f1,eduardo-barbeiro,v2,0.4576850932362352
Automobile,svm,f1,eduardo-cavazin,v2,0.1663082437275985
accelerator-mobile,svm,f1,gregory--soares,v2,0.813
iris,svm,f1,gustavo--cruz-v2,v2,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v2,0.4630438181840051
wine,svm,f1,larissa-v2,v2,0.944055944055944
tic_tac_toe,svm,f1,leandro-menoni,v2,0.41
wine-white,svm,f1,lucas-v2,v2,0.6050390905346124
data.csv,svm,f1,luiz-miguel-silva,v2,0.6054484048784703
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v2,0.9641942694574276
iris,svm,f1,pablo-v2,v2,0.9665831244778612
bank,svm,f1,rafael-leonardo,v2,0.7126861204698105
Rice,svm,f1,rafael-scarpelli,v2,1.0
Mushroom,svm,f1,renato-augusto-v2,v2,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v2,0.9120086018544372
mushroom,svm,f1,thalles--barros,v2,1.0
agaricus-lepiota,svm,f1,vitor--garcia,v2,1.0
Car Evaluation,svm,f1,vitor-oliveira,v2,0.7600000000000001
bank,svm,f1,ana--beatriz,v3,0.4657210401891253
glass_identification,svm,f1,andrey--jodar,v3,0.3629911883781853
spambase,svm,f1,arthur--heiji,v3,0.922250759671807
wine_quality_red,svm,f1,arthur-hydeki,v3,0.913159967605014
insurance,svm,f1,arthur-protazio,v3,0.909046604138898
column_2c,svm,f1,eduardo-barbeiro,v3,0.4746291959406712
Automobile,svm,f1,eduardo-cavazin,v3,0.1815652173913043
accelerator-mobile,svm,f1,gregory--soares,v3,0.782
iris,svm,f1,gustavo--cruz-v2,v3,0.964747356051704
garments-workers,svm,f1,isaque--cruz,v3,0.490932696737446
wine,svm,f1,larissa-v2,v3,0.970961887477314
tic_tac_toe,svm,f1,leandro-menoni,v3,0.45
wine-white,svm,f1,lucas-v2,v3,0.6593733945103544
data.csv,svm,f1,luiz-miguel-silva,v3,0.6185579729770395
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v3,0.9715631307468042
iris,svm,f1,pablo-v2,v3,1.0
bank,svm,f1,rafael-leonardo,v3,0.7055287957034548
Rice,svm,f1,rafael-scarpelli,v3,1.0
Mushroom,svm,f1,renato-augusto-v2,v3,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v3,0.9603252696959792
mushroom,svm,f1,thalles--barros,v3,0.9993147930856546
agaricus-lepiota,svm,f1,vitor--garcia,v3,1.0
Car Evaluation,svm,f1,vitor-oliveira,v3,0.7600000000000001
bank,svm,f1,ana--beatriz,v4,0.4644549763033175
glass_identification,svm,f1,andrey--jodar,v4,0.1567099567099567
spambase,svm,f1,arthur--heiji,v4,0.926828436923613
wine_quality_red,svm,f1,arthur-hydeki,v4,0.9037852557620688
insurance,svm,f1,arthur-protazio,v4,0.8835551357314911
column_2c,svm,f1,eduardo-barbeiro,v4,0.5028985507246376
Automobile,svm,f1,eduardo-cavazin,v4,0.2530465949820789
accelerator-mobile,svm,f1,gregory--soares,v4,0.827
iris,svm,f1,gustavo--cruz-v2,v4,0.25
garments-workers,svm,f1,isaque--cruz,v4,0.4701554232804232
wine,svm,f1,larissa-v2,v4,0.9696394686907022
tic_tac_toe,svm,f1,leandro-menoni,v4,0.42
wine-white,svm,f1,lucas-v2,v4,0.5936003730367236
data.csv,svm,f1,luiz-miguel-silva,v4,0.6463982583774249
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v4,0.964516842745727
iris,svm,f1,pablo-v2,v4,0.9333333333333332
bank,svm,f1,rafael-leonardo,v4,0.5902503881805602
Rice,svm,f1,rafael-scarpelli,v4,1.0
Mushroom,svm,f1,renato-augusto-v2,v4,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v4,0.9150881748089944
mushroom,svm,f1,thalles--barros,v4,0.8958838449774329
agaricus-lepiota,svm,f1,vitor--garcia,v4,1.0
Car Evaluation,svm,f1,vitor-oliveira,v4,0.7600000000000001
bank,svm,f1,ana--beatriz,v5,0.4719626168224299
glass_identification,svm,f1,andrey--jodar,v5,0.2165032679738562
spambase,svm,f1,arthur--heiji,v5,0.9390097295094492
wine_quality_red,svm,f1,arthur-hydeki,v5,0.8886962304974892
insurance,svm,f1,arthur-protazio,v5,0.894315212337881
column_2c,svm,f1,eduardo-barbeiro,v5,0.6154057582629011
Automobile,svm,f1,eduardo-cavazin,v5,0.1706730769230769
accelerator-mobile,svm,f1,gregory--soares,v5,0.788
iris,svm,f1,gustavo--cruz-v2,v5,1.0
garments-workers,svm,f1,isaque--cruz,v5,0.4385044811952962
wine,svm,f1,larissa-v2,v5,1.0
tic_tac_toe,svm,f1,leandro-menoni,v5,0.5
wine-white,svm,f1,lucas-v2,v5,0.6365583019616312
data.csv,svm,f1,luiz-miguel-silva,v5,0.6141906405421217
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v5,0.97147522431493
iris,svm,f1,pablo-v2,v5,0.9326599326599326
bank,svm,f1,rafael-leonardo,v5,0.7631225379240234
Rice,svm,f1,rafael-scarpelli,v5,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v5,0.972517730496454
car.csv,svm,f1,romulo-jordao,v5,0.9518517649011616
mushroom,svm,f1,thalles--barros,v5,0.9645104895104896
agaricus-lepiota,svm,f1,vitor--garcia,v5,1.0
Car Evaluation,svm,f1,vitor-oliveira,v5,0.7600000000000001
bank,svm,f1,ana--beatriz,v6,0.4682726204465335
glass_identification,svm,f1,andrey--jodar,v6,0.2225213810579664
spambase,svm,f1,arthur--heiji,v6,0.9279474107048118
wine_quality_red,svm,f1,arthur-hydeki,v6,0.8989609963111789
insurance,svm,f1,arthur-protazio,v6,0.9061917319254372
column_2c,svm,f1,eduardo-barbeiro,v6,0.462026862026862
Automobile,svm,f1,eduardo-cavazin,v6,0.1586206896551724
accelerator-mobile,svm,f1,gregory--soares,v6,0.803
iris,svm,f1,gustavo--cruz-v2,v6,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v6,0.4600892647404275
wine,svm,f1,larissa-v2,v6,1.0
tic_tac_toe,svm,f1,leandro-menoni,v6,0.42
wine-white,svm,f1,lucas-v2,v6,0.6161958516376578
data.csv,svm,f1,luiz-miguel-silva,v6,0.618695768911926
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v6,0.9715631307468042
iris,svm,f1,pablo-v2,v6,0.9665831244778612
bank,svm,f1,rafael-leonardo,v6,0.5420406315933256
Rice,svm,f1,rafael-scarpelli,v6,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v6,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v6,0.9751451598585356
mushroom,svm,f1,thalles--barros,v6,0.688500253866426
agaricus-lepiota,svm,f1,vitor--garcia,v6,1.0
Car Evaluation,svm,f1,vitor-oliveira,v6,0.7014925373134329
bank,svm,f1,ana--beatriz,v7,0.4707259953161593
glass_identification,svm,f1,andrey--jodar,v7,0.2211538461538461
spambase,svm,f1,arthur--heiji,v7,0.9277921670198572
wine_quality_red,svm,f1,arthur-hydeki,v7,0.879737732752981
insurance,svm,f1,arthur-protazio,v7,0.9067876159151564
column_2c,svm,f1,eduardo-barbeiro,v7,0.4492122719734659
Automobile,svm,f1,eduardo-cavazin,v7,0.2
accelerator-mobile,svm,f1,gregory--soares,v7,0.832
iris,svm,f1,gustavo--cruz-v2,v7,0.964747356051704
garments-workers,svm,f1,isaque--cruz,v7,0.4804813863260487
wine,svm,f1,larissa-v2,v7,0.9717813051146384
tic_tac_toe,svm,f1,leandro-menoni,v7,0.39
wine-white,svm,f1,lucas-v2,v7,0.6303543808139578
data.csv,svm,f1,luiz-miguel-silva,v7,0.6437229873723176
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v7,0.9645308650833512
iris,svm,f1,pablo-v2,v7,1.0
bank,svm,f1,rafael-leonardo,v7,0.7896282088119286
Rice,svm,f1,rafael-scarpelli,v7,1.0
Mushroom,svm,f1,renato-augusto-v2,v7,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v7,0.8887130587678367
mushroom,svm,f1,thalles--barros,v7,1.0
agaricus-lepiota,svm,f1,vitor--garcia,v7,1.0
Car Evaluation,svm,f1,vitor-oliveira,v7,0.7014925373134329
bank,svm,f1,ana--beatriz,v8,0.465405085748078
glass_identification,svm,f1,andrey--jodar,v8,0.2499597423510466
spambase,svm,f1,arthur--heiji,v8,0.9161373927696832
wine_quality_red,svm,f1,arthur-hydeki,v8,0.9164204379522364
insurance,svm,f1,arthur-protazio,v8,0.9088209034735308
column_2c,svm,f1,eduardo-barbeiro,v8,0.4816993464052287
Automobile,svm,f1,eduardo-cavazin,v8,0.2475524475524475
accelerator-mobile,svm,f1,gregory--soares,v8,0.8
iris,svm,f1,gustavo--cruz-v2,v8,0.25
garments-workers,svm,f1,isaque--cruz,v8,0.4345062877708318
wine,svm,f1,larissa-v2,v8,1.0
tic_tac_toe,svm,f1,leandro-menoni,v8,0.42
wine-white,svm,f1,lucas-v2,v8,0.6255022543042026
data.csv,svm,f1,luiz-miguel-silva,v8,0.6505172706864314
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v8,0.9571428571428572
iris,svm,f1,pablo-v2,v8,1.0
bank,svm,f1,rafael-leonardo,v8,0.6397963989606672
Rice,svm,f1,rafael-scarpelli,v8,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v8,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v8,0.9264256879009104
mushroom,svm,f1,thalles--barros,v8,0.9993147930856546
agaricus-lepiota,svm,f1,vitor--garcia,v8,1.0
Car Evaluation,svm,f1,vitor-oliveira,v8,0.7014925373134329
bank,svm,f1,ana--beatriz,v9,0.4697947214076246
glass_identification,svm,f1,andrey--jodar,v9,0.2516339869281045
spambase,svm,f1,arthur--heiji,v9,0.9392767022578304
wine_quality_red,svm,f1,arthur-hydeki,v9,0.9714212041286018
insurance,svm,f1,arthur-protazio,v9,0.8840126904739986
column_2c,svm,f1,eduardo-barbeiro,v9,0.54312047399605
Automobile,svm,f1,eduardo-cavazin,v9,0.2264957264957265
accelerator-mobile,svm,f1,gregory--soares,v9,0.799
iris,svm,f1,gustavo--cruz-v2,v9,1.0
garments-workers,svm,f1,isaque--cruz,v9,0.4641702586206896
wine,svm,f1,larissa-v2,v9,1.0
tic_tac_toe,svm,f1,leandro-menoni,v9,0.45
wine-white,svm,f1,lucas-v2,v9,0.6105824015446529
data.csv,svm,f1,luiz-miguel-silva,v9,0.5645571857935526
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v9,0.9857777777777778
iris,svm,f1,pablo-v2,v9,0.8976982097186701
bank,svm,f1,rafael-leonardo,v9,0.733589190136546
Rice,svm,f1,rafael-scarpelli,v9,0.9665831244778612
Mushroom,svm,f1,renato-augusto-v2,v9,0.9725177304964538
car.csv,svm,f1,romulo-jordao,v9,0.9040101257814896
mushroom,svm,f1,thalles--barros,v9,0.8958838449774329
agaricus-lepiota,svm,f1,vitor--garcia,v9,1.0
Car Evaluation,svm,f1,vitor-oliveira,v9,0.7014925373134329
bank,svm,f1,ana--beatriz,v10,0.4728862973760933
glass_identification,svm,f1,andrey--jodar,v10,0.1739341085271318
spambase,svm,f1,arthur--heiji,v10,0.9378542510121456
wine_quality_red,svm,f1,arthur-hydeki,v10,0.9199480638222962
insurance,svm,f1,arthur-protazio,v10,0.8895972838295513
column_2c,svm,f1,eduardo-barbeiro,v10,0.5071168487255875
Automobile,svm,f1,eduardo-cavazin,v10,0.2891414141414141
accelerator-mobile,svm,f1,gregory--soares,v10,0.825
iris,svm,f1,gustavo--cruz-v2,v10,0.3333333333333333
garments-workers,svm,f1,isaque--cruz,v10,0.4752077797252219
wine,svm,f1,larissa-v2,v10,1.0
tic_tac_toe,svm,f1,leandro-menoni,v10,0.45
wine-white,svm,f1,lucas-v2,v10,0.6798488949030221
data.csv,svm,f1,luiz-miguel-silva,v10,0.6053820899442475
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v10,0.95703518817599
iris,svm,f1,pablo-v2,v10,0.899749373433584
bank,svm,f1,rafael-leonardo,v10,0.7079609497087211
Rice,svm,f1,rafael-scarpelli,v10,1.0
Mushroom,svm,f1,renato-augusto-v2,v10,0.972517730496454
car.csv,svm,f1,romulo-jordao,v10,0.9148043866827666
mushroom,svm,f1,thalles--barros,v10,0.9645104895104896
agaricus-lepiota,svm,f1,vitor--garcia,v10,1.0
Car Evaluation,svm,f1,vitor-oliveira,v10,0.7014925373134329
bank,svm,f1,ana--beatriz,v11,0.4676470588235294
